emoji_handle,emoji_link,section
green_heart,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/green_heart.png,People
broken_heart,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/broken_heart.png,People
heartbeat,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/heartbeat.png,People
heartpulse,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/heartpulse.png,People
two_hearts,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/two_hearts.png,People
revolving_hearts,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/revolving_hearts.png,People
cupid,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/cupid.png,People
sparkling_heart,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/sparkling_heart.png,People
sparkles,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/sparkles.png,People
star,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/star.png,People
star2,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/star2.png,People
dizzy,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/dizzy.png,People
boom,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/boom.png,People
collision,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/collision.png,People
anger,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/anger.png,People
exclamation,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/exclamation.png,People
question,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/question.png,People
grey_exclamation,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/grey_exclamation.png,People
grey_question,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/grey_question.png,People
zzz,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/zzz.png,People
dash,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/dash.png,People
sweat_drops,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/sweat_drops.png,People
notes,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/notes.png,People
musical_note,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/musical_note.png,People
fire,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/fire.png,People
hankey,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/hankey.png,People
poop,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/poop.png,People
shit,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/shit.png,People
+1,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/plus1.png,People
thumbsup,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/thumbsup.png,People
-1,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/-1.png,People
thumbsdown,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/thumbsdown.png,People
ok_hand,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/ok_hand.png,People
punch,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/punch.png,People
facepunch,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/facepunch.png,People
fist,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/fist.png,People
v,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/v.png,People
wave,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/wave.png,People
hand,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/hand.png,People
raised_hand,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/raised_hand.png,People
open_hands,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/open_hands.png,People
point_up,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/point_up.png,People
point_down,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/point_down.png,People
point_left,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/point_left.png,People
point_right,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/point_right.png,People
raised_hands,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/raised_hands.png,People
pray,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/pray.png,People
point_up_2,https://www.webfx.com/tools/emoji-cheat-sheet/graphics/emojis/point_up_2.png,People
