name,number,type
15614-客户端高级工程师（上海）,1,技术类
32271-腾讯视频效果投放运营经理（信息流方向）,1,内容编辑类
TME-全民K歌国际版后台工程师,3,技术类
18428-金融应用安全运维工程师,1,技术类
28096-腾讯音乐DMP后台开发工程师（深圳）,1,技术类
23518-产品经理,1,产品/项目类
18428-金融应用高级运维工程师（深圳）,1,技术类
18435-财付通高级风险分析师（深圳）,1,技术类
TEG07-高级web前端开发工程师（深圳）,1,技术类
AQ-安全智库经理（深圳）,1,职能类
TEG10-高级规划工程师(深圳),3,技术类
TEG15-数据库研发高级工程师（北京）,2,技术类
TEG13-自然语言处理高级工程师（深圳）,1,技术类
TEG13-图像OCR算法工程师(北京),1,技术类
30620-腾讯社交广告流量生态平台合作运营经理（微信广告 深圳）,1,产品/项目类
HY-研发外包管理项目经理,1,职能类
27193-互娱前端开发工程师,1,技术类
30620-腾讯广告微信广告基础平台开发工程师（深圳）,1,技术类
CSIG16-基础架构工程师,1,技术类
30620-腾讯广告微信广告反作弊工程师（深圳）,2,技术类
15612-游戏客户端开发(北京）,1,技术类
23295-互娱媒介策划经理（产品传播方向）（深圳）,1,市场类
PCG19-腾讯视频数据挖掘高级工程师（北京） ,1,技术类
WXG02-122 微信高级数据挖掘算法工程师（深圳）,2,技术类
30620-腾讯社交广告算法专家（微信广告 深圳）,1,技术类
WXG08-113 微信自然语言处理系统后台开发工程师（北京）,2,技术类
CS-腾讯公益c/c++后台开发工程师（深圳）,1,技术类
20354-腾讯云安全攻防专家（深圳总部）,1,技术类
20354-腾讯云安全攻防专家（北京）,1,技术类
20354-腾讯云虚拟化漏洞研究员,2,技术类
CSIG15-智能终端产品经理,2,产品/项目类
18435-高级反洗钱合规管理（香港）,1,技术类
PCG19-视频编解码研发专家（深圳）,1,技术类
22989-腾讯云存储产品运营（深圳/北京）,1,产品/项目类
TEG15-结算平台高级开发工程师（深圳）,1,技术类
23294-电竞明星经纪（深圳）,1,市场类
AQ-安全责任经理（北京）,1,职能类
18428-智慧农险产品经理,1,产品/项目类
15612-3D动画特效,1,设计类
XZ-高管秘书（深圳）,1,职能类
CS-腾讯公益高级测试工程师,1,技术类
TEG07-CDC高级多媒体视觉设计师（深圳）,1,设计类
PCG19-图像处理算法高级工程师（深圳）,1,技术类
21309-在线教育C/C++后台开发工程师（深圳）,1,技术类
TEG13-自然语言处理高级工程师（北京）,1,技术类
15570-MMO+FPS手游高级引擎开发工程师,2,技术类
15612-次世代3D角色美术（美术）（北京）,1,设计类
18302-剑灵IP手游后台高级开发工程师（深圳）,1,技术类
PCG04-测试Leader,1,技术类
21227-ARPG品类本地化高级运营策划,1,产品/项目类
TEG02-云网络测试工程师,1,技术类
WH-企业文化经理（深圳）,1,职能类
15616-高级UI视觉设计师,2,设计类
24548-电影商业制片人,1,产品/项目类
18402-移动游戏本地化高级策划（深圳）,1,产品/项目类
28297-Strategic Planning Manager – Oversea Business,2,市场类
PCG04-安全测试组长,1,技术类
PCG04-web前端高级开发工程师,1,技术类
PCG10-浏览器功能前端开发工程师,1,技术类
21227-创新手游产品—市场和平台渠道推广,1,产品/项目类
20354-腾讯云安全产品后台高级开发工程师,1,技术类
CSIG17-云网络产品测试高级工程师,1,技术类
27730-短视频APP后台开发工程师（深圳）,2,技术类
27730-产品经理（用户运营方向）,1,产品/项目类
RP-健康顾问（顾问合同）,1,职能类
31109-招聘经理,1,职能类
20503-计算机视觉高级研究员（深圳）,1,技术类
20503-人脸识别研发工程师（上海）,2,技术类
TEG09-视频编转码高级工程师（深圳/北京）,2,技术类
25923-机器学习平台研发工程师（深圳）,2,技术类
22989-云存储资深研发工程师（北京）,5,技术类
23294-互娱赛事运营经理（深圳）,1,市场类
WXG03-113 微信公众平台后台开发工程师（广州）,2,技术类
